obs,author,study,year,class,order,family,genus,species,variable,fitness.estimate,treatment,estimated.increase.in.harm (M:F),estimated.harm,Orthogonal treatment type,Orthogonal treatment,"fitness.estimate raw or derived, empty=raw",X_C,SE_C,sd_C,N_C,X_T,SE_T,sd_T,N_T,source,Control_MatingRate/ OSR,Treatment_MatingRate/ OSR,"Treatment type: MP=Mono/Poly, Exposure= no ratio manipulation only exposure/ access manipulated",Treatment period in days (hrs if mentioned)= convert all to days,Simultaneous/ Sequential exposure in treatment,"Diff. exposure time= treatment exposure - control exposure, days/ hrs if treatment type is exposure",Experimental evolution,Control_MaleNo= >1 indicates 1:1 OSR but more than one pair housed together,Treatment_MaleNo_,"Simultaneous male no. in treatment, empty = >1, 1 for sequential",C_SexRatio (M:F),T_SexRatio,Shared control- Y/N,NOTES ABOUT SPECIES,Dryad DOI,Notes on data extraction,Written to author,Received data,DOI
1,Crudginton,1,2005,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,no. of eggs,direct,sex ratio,6,6,Experimental evolution strain,Promiscuous,,197.7777,11.39263,50.94939,20,153.6111,11.60003,51.87693,20,Fig. 2,>1,>1,MP,5,Simultaneous,,Y,1,,,1:01,6:01,,,,"Control: Monogamous, Two treatments: controlled (3 males) and elevated promiscuity (6 males), data only extracted for 1 male vs. 6 males for two strains Monogamous and Polygamous .",1,,
2,Crudginton,1,2005,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,no. of eggs,direct,sex ratio,6,6,Experimental evolution strain,Monogamous,,164.0764,12.00005,53.66587,20,119.7452,12.19997,54.55993,20,Fig. 2,>1,>1,MP,5,Simultaneous,,Y,1,,,1:01,6:01,,,,"Control: Monogamous, Two treatments: controlled (3 males) and elevated promiscuity (6 males), data only extracted for 1 male vs. 6 males for two strains Monogamous and Polygamous .",1,,
3,Crudginton,1,2005,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,fertility,direct,sex ratio,6,6,Experimental evolution strain,Monogamous,,0.96788,0.0035,0.015652,20,0.780162,0.008457,0.03782,20,Fig. 2,>1,>1,MP,5,Simultaneous,,Y,1,,,1:01,6:01,,,,"Control: Monogamous, Two treatments: controlled (3 males) and elevated promiscuity (6 males), data only extracted for 1 male vs. 6 males for two strains Monogamous and Polygamous .",1,,
4,Crudginton,1,2005,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,fertility,direct,sex ratio,6,6,Experimental evolution strain,Promiscuous,,0.945567,0.00357,0.015964,20,0.87334,0.005831,0.026075,20,Fig. 2,>1,>1,MP,5,Simultaneous,,Y,1,,,1:01,6:01,,,,"Control: Monogamous, Two treatments: controlled (3 males) and elevated promiscuity (6 males), data only extracted for 1 male vs. 6 males for two strains Monogamous and Polygamous .",1,,
5,Maklakov,2,2005,Arachnida,Araneae,Eresidae,Stegodyphus,Stegodyphus lineatus,no. of eggs,direct,mating rate,2.5x?,2.5,,,,45.58,5.26,25.76863,24,29.36,6.76,22.42038,11,text,,,,,,,,,,,,,,,,,,,
6,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of eggs,direct,sex ratio,1:2 vs 1:1,2,Time,experiment period 1,,4.031746,0.587302,3.216783,30,3.68254,0.984127,5.390285,30,Fig. 1a,>1,>1,MP,19,Simultaneous,,N,1,,,1:02,1:01,,,,"Female biased sex ratio treatments to mimic natural sex ratios: 1:2, 1:4, 1:8",,,
7,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of eggs,direct,sex ratio,1:4 vs 1:1,4,Time,experiment period 1,,3.142857,1.285714,7.042147,30,3.68254,0.984127,5.390285,30,Fig. 1a,>1,>1,MP,19,Simultaneous,,N,1,,,1:04,1:01,,,,,,,
8,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of eggs,direct,sex ratio,1:8 vs 1:1,8,Time,experiment period 1,,2.809524,0.904762,4.701281,27,3.68254,0.984127,5.390285,30,Fig. 1a,>1,>1,MP,19,Simultaneous,,N,1,,,1:08,1:01,,,,,,,
9,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of eggs,direct,sex ratio,1:2 vs 1:1,2,Time,experiment period 2,,5.15873,2.190476,11.99773,30,3.095238,2.714286,14.86676,30,Fig. 1a,>1,>1,MP,19,Simultaneous,,N,1,,,1:02,1:01,,,,,,,
10,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of eggs,direct,sex ratio,1:4 vs 1:1,4,Time,experiment period 2,,5.111111,0.587302,3.216783,30,3.095238,2.714286,14.86676,30,Fig. 1a,>1,>1,MP,19,Simultaneous,,N,1,,,1:04,1:01,,,,,,,
11,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of eggs,direct,sex ratio,1:8 vs 1:1,8,Time,experiment period 2,,4.031746,1.269841,6.598289,27,3.095238,2.714286,14.86676,30,Fig. 1a,>1,>1,MP,19,Simultaneous,,N,1,,,1:08,1:01,,,,,,,
12,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of hatchlings,direct,sex ratio,1:2 vs 1:1,2,Time,experiment period 1,,1.058982,0.972364,5.325859,30,1.922339,0.224156,1.227751,30,Fig. 1b,>1,>1,MP,19,Simultaneous,,N,1,,,1:02,1:01,,,,,,,
13,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of hatchlings,direct,sex ratio,1:4 vs 1:1,4,Time,experiment period 1,,0.982216,1.298618,7.112825,30,1.922339,0.224156,1.227751,30,Fig. 1b,>1,>1,MP,19,Simultaneous,,N,1,,,1:04,1:01,,,,,,,
14,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of hatchlings,direct,sex ratio,1:8 vs 1:1,8,Time,experiment period 1,,1.065379,0.678096,3.523491,27,1.922339,0.224156,1.227751,30,Fig. 1b,>1,>1,MP,19,Simultaneous,,N,1,,,1:08,1:01,,,,,,,
15,Vandekerkhove,3,2007,Ostracoda,Podocopida,Cyprididae,Eucypris,Eucypris virens,no. of hatchlings,direct,sex ratio,1:2 vs 1:1,2,Time,experiment period 2,,2.114509,1.855169,10.16118,30,0.943833,1.087513,5.956553,30,Fig. 1b,>1,>1,MP,19,Simultaneous,,N,1,,,1:02,1:01,,,,,,,
